clave,descripcion,unidad,precio_unitario,fuente,tipo,incluye_iva,notas,active
MAT-001,Cemento Portland CPC 30R,ton,4200.00,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-002,Arena cribada,m3,320.00,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-003,"Grava de 3/4""",m3,380.00,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-004,Agua potable,m3,42.50,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAN-001,Peón de construcción,hr,52.35,FRONTEND_CATALOG_MEGALODON,MANO_OBRA,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAN-002,Operario albañil,hr,78.50,FRONTEND_CATALOG_MEGALODON,MANO_OBRA,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAN-003,Oficial armador,hr,95.00,FRONTEND_CATALOG_MEGALODON,MANO_OBRA,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
EQ-001,Revolvedora de concreto 9 ft³,hr,85.50,FRONTEND_CATALOG_MEGALODON,EQUIPO,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
EQ-002,Vibrador de concreto,hr,62.00,FRONTEND_CATALOG_MEGALODON,EQUIPO,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-010,Varilla Grade 42 No. 3-8,kg,26.50,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-011,Alambre de amarre recocido #18,kg,35.00,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
EQ-010,Herramienta menor (corta-varilla),hr,15.00,FRONTEND_CATALOG_MEGALODON,EQUIPO,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-012,Varilla Grade 60 No. 4-11,kg,30.00,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-020,Tabique barro rojo 14x20x40 cm,pza,18.50,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
MAT-021,Mortero tipo II cemento-cal-arena,m3,1850.00,FRONTEND_CATALOG_MEGALODON,MATERIAL,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
EQ-020,Andamio tubular,dia,35.00,FRONTEND_CATALOG_MEGALODON,EQUIPO,false,Insumo de desglose APU del catálogo frontend; rendimiento/quantity se asocia por concepto en APU,true
