jurisdiction_code,government_level,matter,tipo_contratacion,ejercicio_fiscal,presupuesto_min_miles,presupuesto_max_miles,adjudicacion_directa_miles,invitacion_restringida_miles,adjudicacion_directa_servicio_miles,invitacion_restringida_servicio_miles,ley,articulo_referencia,fuente,fuente_uri,fecha_publicacion,estado_dato,notas,active
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,0,15000,499,3776,223,2868,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,15000,30000,590,4469,294,3240,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,30000,50000,678,5079,357,3981,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,50000,100000,753,5637,403,4528,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,100000,150000,1027,7642,492,5649,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,150000,250000,1189,9024,537,6620,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,250000,350000,1386,10522,683,7621,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,350000,450000,1588,12116,781,8656,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,450000,600000,1699,12968,888,10148,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,600000,750000,1993,15258,1066,12082,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,750000,1000000,2128,16276,1152,12981,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,1000000,1250000,2591,19932,1340,15258,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,1250000,1500000,3083,23617,1574,17819,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,1500000,2700000,3471,26766,1760,19966,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-OBRA,FEDERAL,PUBLIC_WORKS,OBRA_PUBLICA,2026,2700000,,3893,28913,1975,22372,LOPSRM,Art. 43 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de la dependencia/entidad para obra y servicios relacionados en el ejercicio.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,0,15000,309,2272,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,15000,30000,343,2649,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,30000,50000,376,2983,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,50000,100000,391,3264,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,100000,150000,492,4351,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,150000,250000,554,5165,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,250000,350000,624,6138,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,350000,450000,686,7068,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,450000,600000,697,7551,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,600000,750000,777,8880,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,750000,1000000,790,9461,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,1000000,1250000,902,11547,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,1250000,1500000,1023,13741,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
MX-FED-ADQ,FEDERAL,ACQUISITION,ADQUISICION,2026,1500000,,1145,16086,,,LAASSP,Art. 55 / PEF 2026 Anexo 9,Anexo 9 PEF 2026 (DOF 21-nov-2025),https://www.diputados.gob.mx/LeyesBiblio/pdf/PEF_2026.pdf,2025-11-21,VERIFICADO,Montos en miles de pesos sin IVA. Tramo por presupuesto autorizado de adquisiciones/arrendamientos/servicios.,true
