code,section,title,description,jurisdiction_code,procedure_types,evaluation_criteria,legal_regime,mandatory,evidence_types,artifact_code,legal_ref,sort_order,condition_json,notes,active
LEG-ACTA-CONSTITUTIVA,LEGAL,Acta constitutiva y reformas,"Copia del acta constitutiva y, en su caso, reformas; objeto social compatible con la obra.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-ACTA-CONSTITUTIVA,RLOPSRM / convocatoria,10,,,true
LEG-PODERES,LEGAL,Poderes del representante legal,Instrumento notarial que acredite facultades para obligar a la persona moral en licitaciones y contratos de obra.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-PODERES,RLOPSRM / convocatoria,20,,,true
LEG-IDENTIFICACION,LEGAL,Identificación oficial del representante,Identificación vigente del representante o persona física licitante.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-IDENTIFICACION,convocatoria,30,,,true
LEG-RFC-CSF,LEGAL,RFC y constancia de situación fiscal,Constancia de situación fiscal actualizada.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-RFC-CSF,convocatoria / CFF,40,,,true
LEG-COMPRANET,LEGAL,Registro CompraNet / Plataforma,Acreditar registro vigente en el sistema electrónico de contrataciones públicas.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-COMPRANET,LOPSRM / convocatoria,50,,,true
LEG-IMPEDIMENTOS,LEGAL,Escrito de no encontrarse en impedimentos,Manifestación bajo protesta de no ubicarse en los supuestos de impedimento de la LOPSRM.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-IMPEDIMENTOS,LOPSRM,60,,,true
LEG-INTEGRIDAD,LEGAL,Declaración de integridad,Escrito de integridad conforme a la normativa de responsabilidades y bases de la convocatoria.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-INTEGRIDAD,LGRASSP / convocatoria,70,,,true
LEG-OPINION-SAT,LEGAL,Opinión de cumplimiento SAT (32-D),Opinión positiva de cumplimiento de obligaciones fiscales.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-OPINION-SAT,CFF 32-D,80,,,true
LEG-OPINION-IMSS,LEGAL,Opinión de cumplimiento IMSS,Opinión positiva en materia de seguridad social.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-OPINION-IMSS,convocatoria / reglas IMSS,90,,,true
LEG-OPINION-INFONAVIT,LEGAL,Opinión de cumplimiento INFONAVIT,Constancia INFONAVIT cuando la convocatoria la exija.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,LEG-OPINION-INFONAVIT,convocatoria,100,,,true
